ID,Education,Status,Income,Num_of_kids,Num_of_Teen,Registration_date,Recency,Mnt_Fruits,Mnt_Meat,Mnt_sweet,Mnt_Wines,Mnt_Gold_Products,Mnt_Fish,Num_Web_Purchases,Num_Store_Purchases,Num_Deals_Purchases,Num_Catalog_Purchases,Response_Campaign_1,Response_Campaign_2,Response_Campaign_3,Response_Campaign_4,Response_Campaign_5,Response,Age_Bin,Income_min_max,Income_Bin,Revenue_upd,Cost_Contact_upd,Complain_upd,Num_Web_Visits_upd,Age_upd,Age_norm_upd,Mnt_Meat_min_max_upd,Mnt_Fruits_min_max_upd,Mnt_sweet_min_max_upd,Mnt_Wines_min_max_upd,Mnt_Gold_Products_min_max_upd,Mnt_Fish_min_max_upd
5376,Graduation,Married,51983.0,1.0,0.0,06/01/2013,42,1.0,1.0,1725.0,1.0,1.0,1.0,15.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,,11.0,3.0,0.0,2.0,43.0,-0.8339968760266886,0.005025125628140704,0.0006697923643670462,0.9999999999999999,0.003861003861003861,0.0038022813688212928,0.0027624309392265192
6862,Graduation,Divorced,1730.0,0.0,0.0,18/05/2014,65,1.0,1.0,3.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,11.0,3.0,0.0,40.0,51.0,-0.16363229846093233,0.005025125628140704,0.0006697923643670462,0.001160092807424594,0.003861003861003861,0.0038022813688212928,0.0027624309392265192
10749,Graduation,Single,8028.0,0.0,0.0,18/09/2012,62,73.0,18.0,66.0,7.0,12.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.009471588243079032,0.0,11.0,3.0,0.0,38.0,31.0,-1.839543742375323,0.09045226130653267,0.04889484259879437,0.037703016241299306,0.02702702702702703,0.045627376425855515,0.0055248618784530384
238,2n Cycle,Together,67309.0,1.0,1.0,23/01/2013,76,515.0,47.0,181.0,149.0,95.0,95.0,15.0,9.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0986245292780057,0.0,11.0,3.0,0.0,14.0,55.0,0.1715499903219458,0.23618090452261306,0.34494306764902877,0.10440835266821345,0.5752895752895753,0.3612167300380228,0.26243093922651933
1501,PhD,Married,160803.0,0.0,0.0,04/08/2012,21,55.0,16.0,1622.0,17.0,3.0,4.0,15.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.2392305424882996,1.0,11.0,3.0,0.0,0.0,40.0,-1.085383592613847,0.08040201005025126,0.036838580040187544,0.9402552204176333,0.06563706563706564,0.011406844106463879,0.011049723756906077
8475,PhD,Married,157243.0,0.0,1.0,01/03/2014,98,20.0,2.0,1582.0,1.0,2.0,1.0,15.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.2338766437672197,1.0,11.0,3.0,0.0,0.0,49.0,-0.3312234428523714,0.010050251256281407,0.013395847287340924,0.9170533642691414,0.003861003861003861,0.0076045627376425855,0.0027624309392265192
9931,PhD,Married,4023.0,1.0,1.0,23/06/2014,29,5.0,0.0,1.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.003448452181864119,0.0,11.0,3.0,0.0,38.0,59.0,0.5067322791048239,0.0,0.003348961821835231,0.0,0.003861003861003861,0.0038022813688212928,0.0027624309392265192
8148,Master,Together,50898.0,1.0,1.0,08/01/2013,88,285.0,28.0,242.0,55.0,114.0,135.0,13.0,6.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.07394395851630833,0.0,11.0,3.0,0.0,10.0,66.0,1.0933012844748606,0.1407035175879397,0.19089082384460818,0.13979118329466358,0.21235521235521235,0.43346007604562736,0.3729281767955801
3594,Master,Married,54108.0,1.0,1.0,05/11/2012,74,539.0,6.0,91.0,8.0,6.0,97.0,13.0,8.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.07877149079009108,0.0,11.0,3.0,0.0,16.0,49.0,-0.3312234428523714,0.03015075376884422,0.3610180843938379,0.05220417633410672,0.03088803088803089,0.022813688212927757,0.26795580110497236
1513,2n Cycle,Together,60839.0,1.0,1.0,28/08/2012,72,600.0,21.0,128.0,223.0,150.0,128.0,13.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.08889426952368348,0.0,11.0,3.0,0.0,16.0,43.0,-0.8339968760266886,0.10552763819095477,0.40187541862022774,0.07366589327146171,0.8610038610038611,0.5703422053231939,0.35359116022099446
