ID,Education,Status,Income,Num_of_kids,Num_of_Teen,Registration_date,Recency,Mnt_Fruits,Mnt_Meat,Mnt_sweet,Mnt_Wines,Mnt_Gold_Products,Mnt_Fish,Num_Web_Purchases,Num_Store_Purchases,Num_Deals_Purchases,Num_Catalog_Purchases,Response_Campaign_1,Response_Campaign_2,Response_Campaign_3,Response_Campaign_4,Response_Campaign_5,Response,Age_Bin,Income_min_max,Income_Bin,Revenue_upd,Cost_Contact_upd,Complain_upd,Num_Web_Visits_upd,Age_upd,Age_norm_upd,Mnt_Meat_min_max_upd,Mnt_Fruits_min_max_upd,Mnt_sweet_min_max_upd,Mnt_Wines_min_max_upd,Mnt_Gold_Products_min_max_upd,Mnt_Fish_min_max_upd,Status_num,Education_num
5376,Graduation,Married,51983.0,1.0,0.0,06/01/2013,42,1.0,1.0,1725.0,1.0,1.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.075577,,11.0,3.0,0.0,2.0,43.0,-0.8339968760266886,0.0050251256281407,0.000669792364367,1.0,0.0038610038610038,0.0038022813688212,0.0027624309392265,4,2
6862,Graduation,Divorced,1730.0,0.0,0.0,18/05/2014,65,1.0,1.0,3.0,1.0,1.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,11.0,3.0,0.0,40.0,51.0,-0.1636322984609323,0.0050251256281407,0.000669792364367,0.0011600928074245,0.0038610038610038,0.0038022813688212,0.0027624309392265,3,2
10749,Graduation,Single,8028.0,0.0,0.0,18/09/2012,62,73.0,18.0,66.0,7.0,12.0,2.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.009471588243079,0.0,11.0,3.0,0.0,38.0,31.0,-1.839543742375323,0.0904522613065326,0.0488948425987943,0.0377030162412993,0.027027027027027,0.0456273764258555,0.005524861878453,2,2
238,2n Cycle,Together,67309.0,1.0,1.0,23/01/2013,76,515.0,47.0,181.0,149.0,95.0,95.0,15.0,15.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0986245292780057,0.0,11.0,3.0,0.0,14.0,55.0,0.1715499903219458,0.236180904522613,0.3449430676490287,0.1044083526682134,0.5752895752895753,0.3612167300380228,0.2624309392265193,5,4
1501,PhD,Married,160803.0,0.0,0.0,04/08/2012,21,55.0,16.0,1622.0,17.0,3.0,4.0,15.0,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.2392305424882996,1.0,11.0,3.0,0.0,0.0,40.0,-1.085383592613847,0.0804020100502512,0.0368385800401875,0.9402552204176332,0.0656370656370656,0.0114068441064638,0.011049723756906,4,5
8475,PhD,Married,157243.0,0.0,1.0,01/03/2014,98,20.0,2.0,1582.0,1.0,2.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.2338766437672197,1.0,11.0,3.0,0.0,0.0,49.0,-0.3312234428523714,0.0100502512562814,0.0133958472873409,0.9170533642691414,0.0038610038610038,0.0076045627376425,0.0027624309392265,4,5
9931,PhD,Married,4023.0,1.0,1.0,23/06/2014,29,5.0,0.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0034484521818641,0.0,11.0,3.0,0.0,38.0,59.0,0.5067322791048239,0.0,0.0033489618218352,0.0,0.0038610038610038,0.0038022813688212,0.0027624309392265,4,5
8148,Master,Together,50898.0,1.0,1.0,08/01/2013,88,285.0,28.0,242.0,55.0,114.0,135.0,13.0,13.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0739439585163083,0.0,11.0,3.0,0.0,10.0,66.0,1.0933012844748606,0.1407035175879397,0.1908908238446081,0.1397911832946635,0.2123552123552123,0.4334600760456273,0.3729281767955801,5,3
3594,Master,Married,54108.0,1.0,1.0,05/11/2012,74,539.0,6.0,91.0,8.0,6.0,97.0,13.0,13.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.078771490790091,0.0,11.0,3.0,0.0,16.0,49.0,-0.3312234428523714,0.0301507537688442,0.3610180843938379,0.0522041763341067,0.0308880308880308,0.0228136882129277,0.2679558011049723,4,3
1513,2n Cycle,Together,60839.0,1.0,1.0,28/08/2012,72,600.0,21.0,128.0,223.0,150.0,128.0,13.0,13.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0888942695236834,0.0,11.0,3.0,0.0,16.0,43.0,-0.8339968760266886,0.1055276381909547,0.4018754186202277,0.0736658932714617,0.8610038610038611,0.5703422053231939,0.3535911602209944,5,4
